PrimaryIDNo,TrackNo,CompanyName,DBA,Title1,Title2,textbox17,Address1,Address2,City,State,Zip,Phone,AltPhone,Fax,Website,Email,MailGroupDesc,PrimaryAddress,ComplaintAddress,CoServiceDesc
30170,EL010183,AEP Texas,AEP TNC,AEP TEXAS INC,CHAD BURNETT,VP REGULATORY & FINANCE,539 N. CARANCAHUA,,CORPUS CHRISTI,TX,78401,3618815793,3618815793,5124814591,aeptexas.com,CMBURNETT@AEP.COM,Company / Physical,True,False,IOU
30170,EL010183,AEP Texas,AEP TNC,AEP TEXAS,GRICELDA CALZADA,REGULATORY PRICING & ANALYSIS MANAGER,539 N CARANCAHUA ST,,CORPUS CHRISTI,TX,78401,3618815750,,5124814591,,AEP_TEXAS_NorthCentralComplaints@aep.com,Contact,False,True,IOU
30170,EL010183,AEP Texas,AEP TNC,AEP TEXAS,CHRISTINA GOMEZ,REGULATORY CONSULTANT STAFF,529 N CARANCAHUA ST,,CORPUS CHRISTI,TX,78478,3618815449,,5124814591,,AEP_TEXAS_NorthCentralComplaints@aep.com,Contact,False,True,IOU
30086,EL080062,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,,CENTERPOINT ENERGY,PATRICK REINHART,VP ELECTRIC REGULATORY RELATIONS & POLICY,1005 CONGRESS AVENUE,SUITE 650,AUSTIN,TX,78701,5123973061,7132071111,5123973050,,PATRICK.REINHART@CENTERPOINTENERGY.COM,Company / Physical,False,False,IOU
30086,EL080062,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,,CENTERPOINT ENERGY,STACEY MURPHREE,REGULATORY MANAGER,"1111 LOUISIANA, ROOM 1924",,HOUSTON,TX,77002,7132076537,7132071111,7132079840,,STACEY.MURPHREE@CENTERPOINTENERGY.COM,Mailing / PO Box,True,False,IOU
30086,EL080062,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,,CENTERPOINT ENERGY,LATOYA JOHNSON,CUSTOMER SERVICE,PO  BOX 4567,,HOUSTON,TX,77210,7132078459,,7132079819,,puccomplaints@CenterPointEnergy.com,Contact,False,True,IOU
30195,EL130009,CROSS TEXAS TRANSMISSION LLC,,CROSS TEXAS TRANSMISSION LLC,XX,XX,XX,XX,XX,TX,xxxxx,,,,,,Company / Physical,True,False,IOU
30050,EL100023,EL PASO ELECTRIC COMPANY,,EL PASO ELECTRIC COMPANY,,,100 N. STANTON,,EL PASO,TX,79901,9155435711,8005921634,9155214450,www.epelectric.com,james.schichtl@epelectric.com,Company / Physical,False,False,IOU
30050,EL100023,EL PASO ELECTRIC COMPANY,,EL PASO ELECTRIC COMPANY,,,PO BOX 982,,EL PASO,TX,79960,9155435711,8005921634,9155214450,www.epelectric.com,james.schichtl@epelectric.com,Mailing / PO Box,True,False,IOU
30050,EL100023,EL PASO ELECTRIC COMPANY,,EL PASO ELECTRIC COMPANY,CURTIS HUTCHESON,PRINCIPAL REGULATORY CASE MANAGER,PO BOX 982,,EL PASO,TX,79960,9155434354,8005921634,9155214450,www.epelectric.com,curtis.hutcheson@epelectric.com; EPE_Reg_Mgmt@epelectric.com,Contact,False,True,IOU
,EL130010,ELECTRIC TRANSMISSION TEXAS LLC,ETT,ELECTRIC TRANSMISSION TEXAS LLC,XX,XX,XX,XX,XX,TX,xxxxx,,,,,,Company / Physical,True,False,IOU
30193,EL080061,ELECTRIC TRANSMISSION TEXAS LLC,ETT,ELECTRIC TRANSMISSION TEXAS LLC,HANNAH R TURNER,ETT DIRECTOR OF REGULATORY & FINANCE,400 WEST 15TH STREET,SUITE 800,AUSTIN,TX,78701,5123916323,,,ettexas.com,HRTURNER@AEP.COM,Company / Physical,True,False,IOU
