PrimaryIDNo,TrackNo,CompanyName,DBA,Title1,Title2,textbox17,Address1,Address2,City,State,Zip,Phone,AltPhone,Fax,Website,Email,MailGroupDesc,PrimaryAddress,ComplaintAddress,CoServiceDesc
30001,EL010007,AUSTIN ENERGY,,AUSTIN ENERGY,IMANE MRINI,DIRECTOR CORPORATE COMPLIANCE PROGRAMS,4815 MUELLER BLVD.,,AUSTIN,TX,78723,5123226144,5123226144,,www.austinenergy.com,imane.mrini@austinenergy.com,Company / Physical,False,False,MUNI
30001,EL010007,AUSTIN ENERGY,,AUSTIN ENERGY,LISA MARTIN,DEPUTY GENERAL MANAGER & CHIEF OPERATIONS OFFICER,4815 MUELLER BLVD.,,AUSTIN,TX,78723,5123226457,5123226457,,www.austinenergy.com,lisa.martin@austinenergy.com,Company / Physical,False,False,MUNI
30001,EL010007,AUSTIN ENERGY,,AUSTIN ENERGY,STUART REILLY,INTERIM GENERAL MANAGER,4815 MUELLER BLVD,,AUSTIN,TX,78723,5123226817,5123226817,,www.austinenergy.com,stuart.reilly@austinenergy.com,Company / Physical,True,False,MUNI
30001,EL010007,AUSTIN ENERGY,,AUSTIN ENERGY,JERRY GALVAN,VICE PRESIDENT CUSTOMER CARE SERVICES,4815 MUELLER BLVD,,AUSTIN,TX,78723,5125053552,5125053552,,www.austinenergy.com,cassandra.ragland@austinenergy.com,Contact,False,True,MUNI
30006,EL010016,BARTLETT MUNICIPAL LIGHT DEPARTMENT,,BARTLETT MUNICIPAL LIGHT DEPARTMENT,ELIZABETH GUERRA,CITY CLERK,140 W  CLARK STREET,,BARTLETT,TX,76511,2545273219,,2545274280,,bartlettcityhall@sbcglobal.net,Company / Physical,False,False,MUNI
30006,EL010016,BARTLETT MUNICIPAL LIGHT DEPARTMENT,,BARTLETT MUNICIPAL LIGHT DEPARTMENT,ELIZABETH GUERRA,CITY CLERK,P O  DRAWER H,,BARTLETT,TX,76511,2545273219,,,,bartlettcityhall@sbcglobal.net,Mailing / PO Box,True,False,MUNI
30006,EL010016,BARTLETT MUNICIPAL LIGHT DEPARTMENT,,BARTLETT MUNICIPAL LIGHT DEPARTMENT,,,,,,TX,,,,,,Utilities.clerk@bartlett-tx.us; cityadmin@bartlett-tx.us,Contact,False,True,MUNI
30008,EL010023,BASTROP POWER AND LIGHT,BASTROP ELECTRIC DEPARTMENT,BASTROP POWER & LIGHT,CURTIS ERVIN,ELECTRIC DIRECTOR,1209 LINDEN STREET,,BASTROP,TX,78602,5123328900,5123328900,,www.cityofbastrop.org,cervin@cityofbastrop.org,Company / Physical,False,False,MUNI
30008,EL010023,BASTROP POWER AND LIGHT,BASTROP ELECTRIC DEPARTMENT,BASTROP POWER & LIGHT,CURTIS ERVIN,ELECTRIC DIRECTOR,1311 CHESTNUT STREET,,BASTROP,TX,78602,5123328900,5123328900,,,cervin@cityofbastrop.org,Company / Physical,True,False,MUNI
30008,EL010023,BASTROP POWER AND LIGHT,BASTROP ELECTRIC DEPARTMENT,BASTROP POWER AND LIGHT,LARA ALLEN,ASST FINANCE DIRECTOR,1311 CHESTNUT STREET,,BASTROP,TX,78602,5123328800,5126296139,,www.cityofbastrop.org,LALLEN@CITYOFBASTROP.ORG,Contact,False,True,MUNI
30010,EL010026,BELLVILLE LIGHT & POWER SYSTEM,,BELLVILLE LIGHT & POWER SYSTEM,SHAWN JACKSON,CITY ADMINISTRATOR,30 SOUTH HOLLAND,,BELLVILLE,TX,77418-2129,9798653136,9798653136,9798659485,https://www.cityofbellville.com/,sjackson@cityofbellville.com,Company / Physical,False,False,MUNI
30010,EL010026,BELLVILLE LIGHT & POWER SYSTEM,,BELLVILLE LIGHT & POWER SYSTEM,SHAWN JACKSON,CITY ADMINISTRATOR,DRAWER 817,,BELLVILLE,TX,77418-2129,9798653136,9798653136,9798659485,https://www.cityofbellville.com/,sjackson@cityofbellville.com,Mailing / PO Box,True,False,MUNI
30012,EL010019,BOERNE UTILITIES,,CITY OF BOERNE,BEN THATCHER,CITY MANAGER,447 N MAIN ST,PO BOX 1677,BOERNE,TX,78006,8302499511,8302481538,,www.ci.boerne.tx.us,bthatcher@boerne-tx.gov,Company / Physical,False,False,MUNI
30012,EL010019,BOERNE UTILITIES,,CITY OF BOERNE,MICHAEL MANN,DIRECTOR OF UTILITIES,447 N MAIN ST,P O  BOX 1677,BOERNE,TX,78006,8302499511,8302481538,8302481326,www.ci.boerne.tx.us,mmann@boerne-tx.gov,Mailing / PO Box,True,False,MUNI
30012,EL010019,BOERNE UTILITIES,,CITY OF BOERNE,CRYSTAL BARRERA,UTILITES REGULATORY SERVICES ADMINISTRATOR,447 N MAIN ST,PO BOX 1677,BOERNE,TX,78006,8302481538,8302499511,8303319708,,CBARRERA@BOERNE-TX.GOV,Contact,False,True,MUNI
30014,EL010014,BOWIE UTILITIES,,BOWIE UTILITIES,,,304 LINDSEY ST ,,BOWIE,TX,76230,9408721114,,9408725702,www.bowietexas.org,,Company / Physical,True,False,MUNI
30014,EL010014,BOWIE UTILITIES,,BOWIE UTILITIES,JAMES CANTWELL,,304 LINDSEY ST ,,BOWIE,TX,76230,9408721114,,9408725702,www.bowietexas.org,jcantwell@cityofbowietx.com,Contact,False,True,MUNI
30015,EL010021,BRADY WATER & LIGHT WORKS,,BRADY WATER & LIGHT WORKS,,,101 E  MAIN ST ,,BRADY,TX,76825,9155972152,,9155972068,,bradyco@centex.net,Company / Physical,False,False,MUNI
30015,EL010021,BRADY WATER & LIGHT WORKS,,BRADY WATER & LIGHT WORKS,,,P O  BOX 351,,BRADY,TX,76825,9155972152,,,,,Mailing / PO Box,True,False,MUNI
30018,EL010018,BRENHAM MUNICIPAL LIGHT & POWER SYSTEM,,BRENHAM MUNICIPAL LIGHT & POWER SYSTEM,WILLIAM BISSETTE,GENERAL MANAGER,200 W VULCAN,,BRENHAM,TX,77834-1059,9793377400,9793377510,,https://www.cityofbrenham.org,Utilities@cityofbrenham.org,Company / Physical,False,False,MUNI
30018,EL010018,BRENHAM MUNICIPAL LIGHT & POWER SYSTEM,,BRENHAM MUNICIPAL LIGHT & POWER SYSTEM,WILLIAM BISSETTE,GENERAL MANAGER,P O  BOX 1059,,BRENHAM,TX,77834-1059,9793377400,9793377400,,https://www.cityofbrenham.org,utilities@cityofbrenham.org,Mailing / PO Box,True,False,MUNI
30019,EL010010,BRIDGEPORT LIGHT & POWER SYSTEM,,BRIDGEPORT LIGHT & POWER SYSTEM,MIKE MURRAY,CITY MANAGER,900 THOMPSON ST,,BRIDGEPORT,TX,76426,9406833400,9406833400,9406835995,,mmurray@cityofbridgeport.net,Company / Physical,True,False,MUNI
30020,EL010020,BROWNFIELD MUNICIPAL POWER & LIGHT,,BROWNFIELD MUNICIPAL POWER & LIGHT,ELDON JOBE,CITY MANAGER,201 W  BROADWAY,,BROWNFIELD,TX,79316,8066374547,,8066379369,,ejobe@valornet.com,Company / Physical,True,False,MUNI
30020,EL010020,BROWNFIELD MUNICIPAL POWER & LIGHT,,Eldon C Jobe,City Manager,,,,,TX,,,,,,eldonjobe@hotmail.com,Contact,False,True,MUNI
30021,EL010027,BROWNSVILLE PUBLIC UTILITIES BOARD,,BROWNSVILLE PUBLIC UTILITIES BOARD,MARK DOMBROSKI,ASSISTANT GENERAL MANAGER & COO,1425 ROBINHOOD DRIVE,PO BOX 3270,BROWNSVILLE,TX,78523-3270,9569836726,,,www.brownsville-pub.com,MVDOMBROSKI@BROWNSVILLE-PUB.COM,Company / Physical,True,False,MUNI
30021,EL010027,BROWNSVILLE PUBLIC UTILITIES BOARD,,BROWNSVILLE PUBLIC UTILITIES BOARD,ESTELLA SOLORZANO,DIRECTOR OF CUSTOMER & SUPPORT SERVICES,1425 ROBINHOOD DR ,,BROWNSVILLE,TX,78523,9569836255,,,www.brownsville-pub.com,ESOLORZANO@BROWNSVILLE-PUB.COM,Contact,False,True,MUNI
30021,EL010027,BROWNSVILLE PUBLIC UTILITIES BOARD,,BROWNSVILLE PUBLIC UTILITIES BOARD,CONSTANZA MINER,CHIEF ADMINISTRATIVE OFFICER,1425 ROBINHOOD DR ,,BROWNSVILLE,TX,78523,9569836722,,,www.brownsville-pub.com,CMINER@BROWNSVILLE-PUB.COM,Contact,False,True,MUNI
30022,EL010024,BTU RURAL ELECTRIC DIVISION,BRYAN TEXAS UTILITIES,BTU RURAL ELECTRIC DIVISION (BRYAN TEXAS UTILITIES),DOUG LYLES,,205 E  28TH ST,,BRYAN,TX,77803,9798215825,9798215700,,www.btutilities.com,dlyles@btutilities.com,Company / Physical,False,False,MUNI
30022,EL010024,BTU RURAL ELECTRIC DIVISION,BRYAN TEXAS UTILITIES,BTU RURAL ELECTRIC DIVISION (BRYAN TEXAS UTILITIES),DOUG LYLES,,P O  BOX 1000,,BRYAN,TX,77805,9798215825,,,,dlyles@btutilities.com,Mailing / PO Box,True,False,MUNI
30022,EL010024,BTU RURAL ELECTRIC DIVISION,BRYAN TEXAS UTILITIES,BTU RURAL ELECTRIC DIVISION,MEAGAN BROWN,PUBLIC INFORMATION OFFICER,P O  BOX 1000,,BRYAN,TX,77805,9798215859,,,,mbrown@btutilities.com,Contact,False,True,MUNI
30023,EL010025,BURNET UTILITIES,,BURNET UTILITIES,,CITY OF BURNET,1000 BUCHANAN DR,,BURNET,TX,78611,5127566093,5127566093,5127568560,,utilities@cityofburnet.com,Company / Physical,True,False,MUNI
30023,EL010025,BURNET UTILITIES,,MARIA GONZALES,ADMINISTRATIVE SERVICES,,PO BOX 1369,,BURNET,TX,78611,5127566093,,,,MGONZALES@CITYOFBURNET.COM,Contact,False,True,MUNI
30024,EL010029,CALDWELL CITY GOVERNMENT,,CALDWELL CITY GOVERNMENT,MELISSA LUTTRELL,CITY SECRETARY,107 SOUTH HILL STREET ,,CALDWELL,TX,77836,4095673271,,4095679233,,mluttrell@caldwell-tx.gov,Company / Physical,True,False,MUNI
30024,EL010029,CALDWELL CITY GOVERNMENT,,Melissa Luttrell,,,,,,TX,,,,,,mluttrell@cityofcaldwell-tx.com,Contact,False,True,MUNI
30027,EL010043,CASTROVILLE UTILITY SYSTEM,,CASTROVILLE UTILITY SYSTEM,SCOTT DIXON,CITY ADMINISTRATOR,1209 N  FIORELLA ST,,CASTROVILLE,TX,78009,8309314070,8309314070,8309316373,,scott.dixon@castrovilletx.gov,Company / Physical,True,False,MUNI
30033,EL010033,COLEMAN MUNICIPAL POWER & LIGHT DEPARTMENT,,COLEMAN MUNICIPAL POWER & LIGHT DEPARTMENT,DAVID W HARRISON,SUPERVISOR,200 W LIVEOAK,,COLEMAN,TX,76834,3256255747,3256255747,,,david.harrison@cityofcolemantx.us,Company / Physical,True,False,MUNI
30033,EL010033,COLEMAN MUNICIPAL POWER & LIGHT DEPARTMENT,,COLEMAN MUNICIPAL POWER & LIGHT DEPARTMENT,DAVID W HARRISON,SUPERVISOR,P O  BOX 592,,COLEMAN,TX,76834,3256254116,,,,david.harrison@cityofcolemantx.us,Contact,False,True,MUNI
30035,EL010039,COLLEGE STATION UTILITIES,,COLLEGE STATION UTILITIES,"TIMOTHY R. CRABB, P.E.",DIRECTOR OF ELECTRIC UTILITY,P O  BOX 9960,1601 GRAHAM ROAD,COLLEGE STATION,TX,77842,9797653439,,,www.cstx.gov,tcrabb@cstx.gov,Company / Physical,False,False,MUNI
30035,EL010039,COLLEGE STATION UTILITIES,,COLLEGE STATION UTILITIES,"TIMOTHY R. CRABB, P.E.",DIRECTOR OF ELECTRIC UTILITY,P O  BOX 9960,1601 GRAHAM ROAD,COLLEGE STATION,TX,77842,9797653439,,,www.cstx.gov,tcrabb@cstx.gov,Mailing / PO Box,True,False,MUNI
30035,EL010039,COLLEGE STATION UTILITIES,,COLLEGE STATION UTILITIES,TIMOTHY R CRABB,DIRECTOR OF ELECTRIC UTILITY,PO BOX 9960,1601 GRAHAM ROAD,COLLEGE STATION,TX,77842,9797643439,,,,tcrabb@cstx.gov,Contact,False,True,MUNI
30031,EL010037,CPS ENERGY,CITY PUBLIC SERVICE BOARD OF SAN ANTONIO,CPS ENERGY,SHANNA M. RAMIREZ,"CHIEF LEGAL & ETHICS OFFICER, GENERAL COUNSEL & BOARD SECRETARY",500 MCCULLOUGH AVE.,MD: CT1501,SAN ANTONIO,TX,78215,2103535689,8008701006,,www.cpsenergy.com,smramirez@cpsenergy.com,Company / Physical,True,False,MUNI
