PrimaryIDNo,TrackNo,CompanyName,DBA,Title1,Title2,textbox17,Address1,Address2,City,State,Zip,Phone,AltPhone,Fax,Website,Email,MailGroupDesc,PrimaryAddress,ComplaintAddress,CoServiceDesc
30074,EL010066,GUADALUPE-BLANCO RIVER AUTHORITY,,GUADALUPE-BLANCO RIVER AUTHORITY,ALLEN OGNOSKIE,HYDROELECTRIC SYSTEM MANAGER,933 EAST COURT STREET ,,SEGUIN,TX,78155,8303795822,,8303799718,,AOGNOSKIE@GBRA.ORG,Company / Physical,False,False,RA
30074,EL010066,GUADALUPE-BLANCO RIVER AUTHORITY,,GUADALUPE-BLANCO RIVER AUTHORITY,ALLEN OGNOSKIE,HYDROELECTRIC SYSTEM MANAGER,P O  BOX 271,,SEGUIN,TX,78155,,,,,AOGNOSKIE@GBRA.ORG,Mailing / PO Box,True,False,RA
30074,EL010066,GUADALUPE-BLANCO RIVER AUTHORITY,,,,,,,,TX,,,,,,customercare@gbra.org,Contact,False,True,RA
30110,EL010099,LOWER COLORADO RIVER AUTHORITY,LCRA WHOLESALE POWER SERVICES,LOWER COLORADO RIVER AUTHORITY,DON KISER,"DIRECTOR, REGULATORY AFFAIRS",3700 LAKE AUSTIN BLVD.,,AUSTIN,TX,78703,5125787581,8007765272,,www.lcra.org,don.kiser@lcra.org,Company / Physical,False,False,RA
30110,EL010099,LOWER COLORADO RIVER AUTHORITY,LCRA WHOLESALE POWER SERVICES,LOWER COLORADO RIVER AUTHORITY,DON KISER,"DIRECTOR, REGULATORY AFFAIRS",PO BOX 220,,AUSTIN,TX,78767-0220,8007765272,,,www.lcra.org,don.kiser@lcra.org,Mailing / PO Box,True,False,RA
30110,EL010099,LOWER COLORADO RIVER AUTHORITY,LCRA WHOLESALE POWER SERVICES,LOWER COLORADO RIVER AUTHORITY,DON KISER,"MANAGER, REGULATORY AFFAIRS",3700 LAKE AUSTIN BLVD ,,AUSTIN,TX,78767-0220,5125787581,8007765272,5124733298,www.lcra.org,dkiser@lcra.org,Contact,False,True,RA
GRANDFATHERED,EL010152,SABINE RIVER AUTHORITY OF TEXAS,,SABINE RIVER AUTHORITY OF TEXAS,DAVID MONTAGNE,ASSISTANT GENERAL MANAGER,12777 NORTH HIGHWAY 87,,ORANGE,TX,77632,4097463200,,4097463749,,DMONTAGNE@SRATX.ORG,Company / Physical,False,False,RA
GRANDFATHERED,EL010152,SABINE RIVER AUTHORITY OF TEXAS,,SABINE RIVER AUTHORITY OF TEXAS,DAVID MONTAGNE,ASSISTANT GENERAL MANAGER,P O  BOX 579,,ORANGE,TX,77630-0579,,,,,,Mailing / PO Box,True,False,RA
GRANDFATHERED,EL010152,SABINE RIVER AUTHORITY OF TEXAS,,SABINE RIVER AUTHORITY OF TEXAS,JIM BROWN,,,,,TX,,4097462192,,,,comments@sra.dst.tx.us,Contact,False,True,RA

